tacq,bleaching(%),Tall,datalabel,opl0406avg,OPL_pk_fit (nm),t_pk,tau_b_fit
22,4.285302276336673,[ 22  47  65  92 142 178 323 441],DArep10,87.79061116180033,81.96848517,0.455,0.6857450426811514
22,4.285302276336673,[ 22  47  67  95 131 154 190 313 405],DArep6,89.87142356353613,82.37916712946829,0.455,0.6803720935884835
22,4.285302276336673,[ 22  67  90 139 159 186 314 407],DArep3,91.63420530361739,85.38122797829291,0.49,0.6200796419777788
25,4.466470222125621,[ 25  48  67  97 139 163 187 303 442],DArep2,91.61616139872406,84.53319502,0.49,0.6891951457824517
27,4.582313107307295,[ 27  45  66  91 136 156 184 306 409],DArep5,96.96513313,91.36909222462958,0.49,0.5644074586042658
28,4.638802503,[ 28  52 104 142 163 227 336 417],DArep1,103.30983359068328,96.44651197597148,0.49,0.5648406109208546
45,5.196542393887208,[ 27  45  66  91 136 156 184 306 409],DArep5,104.54568378913264,97.74026724232522,0.5250000000000001,0.485392988
45,5.468115277308161,[ 45  63  89 132 153 182 299 407],DArep8,105.76442256166203,99.46650989037494,0.56,0.5034652093900454
47,5.325116701787907,[ 22  47  65  92 142 178 323 441],DArep10,111.73928836196016,110.08452966284474,0.595,0.4066891259305954
47,5.325116701787907,[ 22  47  67  95 131 154 190 313 405],DArep6,109.00111365822892,100.33063438060063,0.5775,0.46080721974832506
47,5.551120331648034,[ 47  67  99 131 154 181 324 454],DArep4,108.12781824406846,100.62135841982769,0.56,0.4096262169275859
48,5.348054185781094,[ 25  48  67  97 139 163 187 303 442],DArep2,104.64933788611856,96.56846623512304,0.56,0.5945773457065939
52,5.498163354447978,[ 28  52 104 142 163 227 336 417],DArep1,110.17183753600784,101.94884328029704,0.5250000000000001,0.4613046440286663
63,5.800263310346772,[ 45  63  89 132 153 182 299 407],DArep8,104.18143992725774,97.01953706126346,0.56,0.49606564944560017
65,5.702802236091991,[ 22  47  65  92 142 178 323 441],DArep10,111.73928836196016,110.08452966284474,0.595,0.4066891259305954
66,5.731481492325725,[ 27  45  66  91 136 156 184 306 409],DArep5,114.61650772876274,108.2283846770385,0.56,0.4115469440707779
67,5.756146288498373,[ 25  48  67  97 139 163 187 303 442],DArep2,106.5647743376616,100.08678829556278,0.595,0.5571949839067175
67,5.778113336756912,[ 22  47  67  95 131 154 190 313 405],DArep6,115.55299030494967,107.46838269792389,0.6300000000000001,0.3248177760276517
67,5.927096919687173,[ 47  67  99 131 154 181 324 454],DArep4,110.73570671254865,102.17140608705395,0.56,0.4018887870236246
67,6.083362364700149,[ 22  67  90 139 159 186 314 407],DArep3,111.14891940616398,105.1555637938629,0.56,0.4742916151611437
89,6.272967734083375,[ 45  63  89 132 153 182 299 407],DArep8,113.27230614372084,105.14225210825154,0.6300000000000001,0.3806201929175286
90,6.3619406532885305,[ 22  67  90 139 159 186 314 407],DArep3,113.53703762068287,106.54320243814689,0.595,0.3851127586040255
91,6.202226391700801,[ 27  45  66  91 136 156 184 306 409],DArep5,117.15723557166949,110.77776122338452,0.6300000000000001,0.3706344564861602
92,6.244340655980558,[ 22  47  65  92 142 178 323 441],DArep10,111.48402047078227,103.91175445639175,0.665,0.35655681274484163
95,6.316807780210415,[ 22  47  67  95 131 154 190 313 405],DArep6,116.36912977675684,108.1262169282444,0.6300000000000001,0.2982250923597205
97,6.359731592,[ 25  48  67  97 139 163 187 303 442],DArep2,118.53427864610842,111.43902902731608,0.6300000000000001,0.39175672361785707
99,6.505770524475459,[ 47  67  99 131 154 181 324 454],DArep4,118.87772350352725,111.43875868252353,0.595,0.31861842834351073
104,6.763459597653597,[ 28  52 104 142 163 227 336 417],DArep1,118.33407147196222,110.05049849862144,0.595,0.35676513037672286
131,6.798905515,[ 22  47  67  95 131 154 190 313 405],DArep6,127.73089148041588,118.61986837219848,0.7350000000000001,0.230021821
131,6.818089072448403,[ 47  67  99 131 154 181 324 454],DArep4,124.96499857133648,115.2477555354145,0.7,0.20110768273018337
132,6.911470260969364,[ 45  63  89 132 153 182 299 407],DArep8,124.71607230656228,117.24136103352839,0.7,0.22862778493153657
136,6.916413934041568,[ 27  45  66  91 136 156 184 306 409],DArep5,131.05358733561505,120.26357864641798,0.7,0.18674886286169465
139,6.932814874560907,[ 25  48  67  97 139 163 187 303 442],DArep2,128.05275771163483,117.36222246662588,0.665,0.22847658233349136
139,7.051229504702913,[ 22  67  90 139 159 186 314 407],DArep3,134.46679297073672,127.20030458276464,0.77,0.1568588353386077
142,7.019891253348673,[ 22  47  65  92 142 178 323 441],DArep10,130.54259559743858,120.33047248349112,0.7,0.1550093437799487
142,7.056406230426761,[ 28  52 104 142 163 227 336 417],DArep1,132.01679583295487,123.20527827767108,0.6300000000000001,0.2090503598580867
153,6.843291595572476,[ 45  63  89 132 153 182 299 407],DArep8,122.71937299081358,114.51590107585736,0.7,0.2384394592482992
154,6.810628291678447,[ 22  47  67  95 131 154 190 313 405],DArep6,124.84874184188337,116.3005991593835,0.7,0.2328076484116694
154,6.822657510453857,[ 47  67  99 131 154 181 324 454],DArep4,128.47648879372417,117.54362292400795,0.665,0.22514035429387536
156,6.827110485,[ 27  45  66  91 136 156 184 306 409],DArep5,128.46326343136116,119.50914725760752,0.665,0.2381200275061788
159,6.915982096118127,[ 22  67  90 139 159 186 314 407],DArep3,127.84401245383596,118.77657464305666,0.665,0.235146035
163,6.912868034717339,[ 25  48  67  97 139 163 187 303 442],DArep2,128.77486054182432,118.60390081636233,0.665,0.2207726205253899
163,6.937255474905061,[ 28  52 104 142 163 227 336 417],DArep1,130.32605833689436,122.71371289252384,0.6300000000000001,0.2677663141082291
178,7.153897074884025,[ 22  47  65  92 142 178 323 441],DArep10,132.14282540869394,121.91166267186071,0.77,0.089955356
181,6.901267804761788,[ 47  67  99 131 154 181 324 454],DArep4,131.04511956909528,119.8693020189714,0.7,0.1885903935116443
182,6.948996027386949,[ 45  63  89 132 153 182 299 407],DArep8,129.46712194031176,119.9412107410553,0.7350000000000001,0.1741843608470399
184,6.9219972692627865,[ 27  45  66  91 136 156 184 306 409],DArep5,140.00882580335008,130.29467549825517,0.7,0.1105985373504933
186,6.956013677175125,[ 22  67  90 139 159 186 314 407],DArep3,129.7336451280078,120.64267716778956,0.665,0.204415904
187,6.900566929443309,[ 25  48  67  97 139 163 187 303 442],DArep2,129.57473477992482,123.71125630693533,0.7,0.227915956
190,7.048238802385357,[ 22  47  67  95 131 154 190 313 405],DArep6,134.61402396954287,124.43345082353144,0.7350000000000001,0.14207263090086486
227,7.443253827846783,[ 28  52 104 142 163 227 336 417],DArep1,152.98720472337186,140.3587864305832,0.7,0.075450129
299,7.771376428902353,[ 45  63  89 132 153 182 299 407],DArep8,160.4058070675361,147.6511386153437,0.8400000000000001,0.035840262
303,7.761088581944595,[ 25  48  67  97 139 163 187 303 442],DArep2,156.8691489527112,144.17082836184966,0.77,0.055539570999999996
306,7.786404792045511,[ 27  45  66  91 136 156 184 306 409],DArep5,155.92801053561374,142.61258646871036,0.8050000000000002,0.039264022499999995
313,7.804886766571354,[ 22  47  67  95 131 154 190 313 405],DArep6,150.02966356864624,138.0919363229577,0.77,0.0580797985
314,7.8104377118536545,[ 22  67  90 139 159 186 314 407],DArep3,159.46857558569215,148.48238981143203,0.7,0.057459749
323,7.873451144187947,[ 22  47  65  92 142 178 323 441],DArep10,160.66975452208172,146.10219042304323,0.91,0.0191410545
324,7.847722832613741,[ 47  67  99 131 154 181 324 454],DArep4,155.34142688764956,141.6071290845377,0.77,0.0586835675
336,7.812689551405791,[ 28  52 104 142 163 227 336 417],DArep1,157.5754954660864,144.54753615593336,0.665,0.0660845915
405,7.823138638179815,[ 22  47  67  95 131 154 190 313 405],DArep6,148.76852156276962,136.75185335159134,0.7350000000000001,0.078942981
407,7.827145822103704,[ 22  67  90 139 159 186 314 407],DArep3,158.9048774056552,148.33657846870966,0.77,0.070979628
407,7.859440787184389,[ 45  63  89 132 153 182 299 407],DArep8,153.16674175624158,138.6269344343416,0.8400000000000001,0.039258369
409,7.849709674190553,[ 27  45  66  91 136 156 184 306 409],DArep5,159.08977801935617,146.7856547281507,0.91,0.027887982999999998
417,7.789412496432589,[ 28  52 104 142 163 227 336 417],DArep1,153.19934473559542,142.5989241174004,0.7,0.062531943
441,7.894159139363538,[ 22  47  65  92 142 178 323 441],DArep10,145.3123449633406,133.8991613811737,0.8050000000000002,0.06830289
442,7.915222397,[ 25  48  67  97 139 163 187 303 442],DArep2,155.23924968949186,143.8769238601561,0.7,0.073290069
454,7.910633219,[ 47  67  99 131 154 181 324 454],DArep4,159.19416525566132,144.54580403804323,0.8400000000000001,0.033750768
