tacq,bleaching(%),Tall,datalabel,opl0406avg,OPL_pk_fit (nm),t_pk,tau_b_fit
19,4.094845651338933,[ 19  40  57  85 132 152 179 298 400],DArep9,79.92593183712772,72.48288565714041,0.35,0.7800737605576373
20,4.159392175,[ 20  40  59  88 133 154 180 289 405],DArep8,78.77447259768518,69.68213833207848,0.385,0.8367353264527133
20,4.159392175,[ 20  42  60  95 129 147 184 301 391],DArep10,83.98131764977373,72.9394765560047,0.42,0.7951878190685614
20,4.159392175,[ 20  43  63  91 127 149 191 296 420],DArep3,77.79831448092554,67.28136253329865,0.35,0.8400920155452962
24,4.407084553248973,[ 24  43  63  86 125 150 174 293 396],DArep6,83.04482311594953,74.20519946805162,0.385,0.7839175650017647
26,4.524874332231908,[ 26  41  62  92 128 149 179 304 405],DArep7,83.6306889075681,75.85161154496157,0.42,0.720021164
26,4.524874332231908,[ 26  49  74  99 137 158 192 303 413],DArep2,83.86150153930535,76.19023383472323,0.385,0.8550096983282315
26,4.524874332231908,[ 26  70  95 135 159 187 294 394],DArep1,93.21385669300436,84.01428097546494,0.385,0.6566266928530337
40,5.009657463859257,[ 20  40  59  88 133 154 180 289 405],DArep8,90.61240163655664,84.33814875929332,0.455,0.6441122612081539
40,5.017237125206505,[ 19  40  57  85 132 152 179 298 400],DArep9,88.88588284111526,80.35800616,0.42,0.6791977421100418
41,5.011651354811319,[ 26  41  62  92 128 149 179 304 405],DArep7,94.44909068765452,82.2421455175921,0.455,0.6098836571670809
42,5.107692553088478,[ 20  42  60  95 129 147 184 301 391],DArep10,90.67196712454152,81.72105724485098,0.455,0.5601327992567652
43,5.125425930243607,[ 24  43  63  86 125 150 174 293 396],DArep6,94.20666972966279,85.93846001991233,0.455,0.6132124068479021
43,5.155498190286835,[ 20  43  63  91 127 149 191 296 420],DArep3,93.54339486690505,85.41151366316272,0.42,0.5462819813692278
49,5.384676997732726,[ 26  49  74  99 137 158 192 303 413],DArep2,97.68987293601006,89.59635708457691,0.455,0.6136412744077219
57,5.450832019307976,[ 19  40  57  85 132 152 179 298 400],DArep9,94.29020244886098,84.75905851236314,0.455,0.6230899169280244
59,5.529323132570974,[ 20  40  59  88 133 154 180 289 405],DArep8,94.44585018,87.65305969468137,0.455,0.46957544
60,5.554616206797063,[ 20  42  60  95 129 147 184 301 391],DArep10,95.48329526973846,86.55422802,0.455,0.5126549450936946
62,5.611614220243827,[ 26  41  62  92 128 149 179 304 405],DArep7,98.80306981,90.64416565707688,0.455,0.5069220289057195
63,5.646475421732314,[ 24  43  63  86 125 150 174 293 396],DArep6,100.86695481951587,92.07868385027399,0.49,0.5948578822088197
63,5.666299320360949,[ 20  43  63  91 127 149 191 296 420],DArep3,97.49013937118823,87.38781419189286,0.455,0.5267343991465108
70,6.157013029534864,[ 26  70  95 135 159 187 294 394],DArep1,112.46672266443566,104.93780824426096,0.5250000000000001,0.4896974030493689
74,5.991888987214713,[ 26  49  74  99 137 158 192 303 413],DArep2,107.5620760179196,97.07598475449248,0.5250000000000001,0.461488597
85,6.127992001583282,[ 19  40  57  85 132 152 179 298 400],DArep9,108.92824445509993,98.88839430757247,0.49,0.4513768326350866
86,6.087986845460335,[ 24  43  63  86 125 150 174 293 396],DArep6,114.64359202669104,107.1814825998688,0.5250000000000001,0.4558668593502108
88,6.203468353,[ 20  40  59  88 133 154 180 289 405],DArep8,107.8612111358237,97.1254277,0.5250000000000001,0.4510630719536914
91,6.252299818888959,[ 20  43  63  91 127 149 191 296 420],DArep3,106.31835837311186,96.98940895547092,0.5250000000000001,0.452348937
92,6.279081511351634,[ 26  41  62  92 128 149 179 304 405],DArep7,110.16617447230882,101.32017779085278,0.5250000000000001,0.40648432470471907
95,6.387416213323756,[ 20  42  60  95 129 147 184 301 391],DArep10,105.35471840772615,90.59802128655755,0.56,0.3834914941668964
95,6.460311856159924,[ 26  70  95 135 159 187 294 394],DArep1,114.88325097964078,107.8180467916364,0.56,0.393515739
99,6.360163896657174,[ 26  49  74  99 137 158 192 303 413],DArep2,109.38433100905601,101.39027024987283,0.5250000000000001,0.3882476076826278
125,6.747584981829126,[ 24  43  63  86 125 150 174 293 396],DArep6,118.72894735019574,103.83341065957876,0.56,0.32821966881753606
127,6.766335012766237,[ 20  43  63  91 127 149 191 296 420],DArep3,116.58326409813498,105.3956635191514,0.56,0.35722076482479126
128,6.779857268867419,[ 26  41  62  92 128 149 179 304 405],DArep7,119.98312693412265,109.5998495686789,0.56,0.326524110290801
